imdb_title_id,title,year,genre,duration,avg_vote
tt0338085,Haaveiden kehä,2002,"Comedy, Drama",85,6.3
tt0338096,Dirty Dancing 2,2004,"Drama, Music, Romance",86,6
tt0338543,Wake,2003,Drama,90,6.6
tt0338732,Aram,2002,Drama,90,7.2
tt0338789,"Binecuvântatã fii, închisoare",2002,Drama,90,7.4
tt0339149,Himmelfall,2002,"Comedy, Drama, Family",83,6.7
tt0339230,Kops,2003,"Action, Comedy",90,6.7
tt0339482,L'outremangeur,2003,"Crime, Drama",90,6.3
tt0339489,Killing words - Parole assassine,2003,"Crime, Drama, Thriller",89,7.1
tt0339559,Rapsodiya v byalo,2002,"Comedy, Drama",86,6.6
tt0339643,Secret de banlieue,2002,Thriller,90,6.7
tt0339748,Sukedachi-ya Sukeroku,2001,"Action, Comedy, Drama",88,6.7
tt0340147,Happily Even After,2004,"Comedy, Romance",88,6.4
tt0340149,Hatley High,2003,"Comedy, Romance",90,6.1
tt0340377,The Station Agent,2003,"Comedy, Drama",89,7.6
tt0341455,Makdee,2002,"Comedy, Fantasy, Horror",90,7.4
tt0341578,Shouf shouf habibi!,2004,"Comedy, Drama",89,6.1
tt0342329,Emigranti,2002,Drama,85,6
tt0342419,A Filha,2003,"Drama, Horror, Thriller",90,6.4
tt0342717,Joy Road,2004,"Crime, Drama",88,6.2
tt0342778,Xun qiang,2002,"Crime, Drama, Mystery",90,6.6
tt0343135,...E alla fine arriva Polly,2004,"Comedy, Romance",90,6
tt0344485,Toutes ces belles promesses,2003,"Drama, Romance",85,6.6
tt0344766,15: The Movie,2003,"Drama, Comedy",90,6.1
tt0345950,SpongeBob - Il film,2004,"Animation, Action, Adventure",87,7.1
tt0347131,Los guantes mágicos,2003,"Drama, Comedy",90,6.8
tt0347200,Hoteru haibisukasu,2002,Comedy,90,6.9
tt0347207,Oggi e Domani - Il Destino Muta Ogni Istante,2003,Drama,87,6.1
tt0347678,Nos enfants chéris,2003,"Comedy, Drama",86,6.2
tt0347720,Svjedoci,2003,"Drama, War",90,6.8
tt0347996,Sheng shi chuan shuo,2000,"Action, Adventure, Family",90,6.8
tt0348874,Le soleil assassiné,2003,"Biography, Drama",85,6.4
tt0349048,011 Beograd,2003,Drama,83,6.5
tt0349340,Dead Bodies,2003,"Comedy, Drama, Horror",88,6.3
